learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,rows,stress_rate,roc_auc,average_precision,log_loss,brier_score,accuracy_at_0_5,precision_at_0_5,recall_at_0_5,f1_at_0_5,confusion_matrix_at_0_5
0.03,200,7,10,1.0,75,0.306667,0.648829,0.407275,0.61607,0.213514,0.64,0.25,0.086957,0.129032,"[[46, 6], [21, 2]]"
0.06,200,7,10,1.0,75,0.306667,0.647993,0.404666,0.651222,0.227037,0.626667,0.307692,0.173913,0.222222,"[[43, 9], [19, 4]]"
0.06,100,7,20,0.0,75,0.306667,0.628763,0.381025,0.621419,0.217211,0.653333,0.384615,0.217391,0.277778,"[[44, 8], [18, 5]]"
0.03,200,7,20,1.0,75,0.306667,0.626254,0.390054,0.621253,0.215298,0.666667,0.4,0.173913,0.242424,"[[46, 6], [19, 4]]"
0.06,100,7,10,1.0,75,0.306667,0.618729,0.379692,0.625701,0.217624,0.653333,0.333333,0.130435,0.1875,"[[46, 6], [20, 3]]"
0.03,100,7,10,1.0,75,0.306667,0.61204,0.390523,0.617005,0.213449,0.64,0.166667,0.043478,0.068966,"[[47, 5], [22, 1]]"
0.06,200,7,20,0.0,75,0.306667,0.61204,0.371964,0.679594,0.232072,0.68,0.461538,0.26087,0.333333,"[[45, 7], [17, 6]]"
0.06,100,7,20,1.0,75,0.306667,0.610368,0.390247,0.630348,0.21847,0.666667,0.416667,0.217391,0.285714,"[[45, 7], [18, 5]]"
0.03,200,7,20,0.0,75,0.306667,0.608696,0.375388,0.631659,0.220507,0.666667,0.416667,0.217391,0.285714,"[[45, 7], [18, 5]]"
0.03,100,15,20,0.0,75,0.306667,0.605351,0.357553,0.632583,0.221456,0.626667,0.307692,0.173913,0.222222,"[[43, 9], [19, 4]]"
0.03,100,7,30,0.0,75,0.306667,0.603679,0.354529,0.627178,0.219988,0.626667,0.222222,0.086957,0.125,"[[45, 7], [21, 2]]"
0.03,100,7,20,0.0,75,0.306667,0.598662,0.36289,0.621829,0.216629,0.653333,0.285714,0.086957,0.133333,"[[47, 5], [21, 2]]"
0.06,200,7,20,1.0,75,0.306667,0.59699,0.357777,0.674512,0.234085,0.626667,0.333333,0.217391,0.263158,"[[42, 10], [18, 5]]"
0.03,100,7,30,1.0,75,0.306667,0.596154,0.346526,0.626793,0.220129,0.626667,0.222222,0.086957,0.125,"[[45, 7], [21, 2]]"
0.03,200,15,20,0.0,75,0.306667,0.595318,0.359652,0.685941,0.240969,0.626667,0.333333,0.217391,0.263158,"[[42, 10], [18, 5]]"
0.03,200,7,30,0.0,75,0.306667,0.594482,0.356492,0.663664,0.233547,0.626667,0.352941,0.26087,0.3,"[[41, 11], [17, 6]]"
0.03,200,7,30,1.0,75,0.306667,0.591973,0.354413,0.65309,0.229877,0.626667,0.307692,0.173913,0.222222,"[[43, 9], [19, 4]]"
0.03,100,7,20,1.0,75,0.306667,0.589465,0.350972,0.624535,0.217311,0.653333,0.285714,0.086957,0.133333,"[[47, 5], [21, 2]]"
0.03,100,15,30,0.0,75,0.306667,0.58612,0.339576,0.633909,0.223357,0.586667,0.1,0.043478,0.060606,"[[43, 9], [22, 1]]"
0.06,100,7,30,0.0,75,0.306667,0.585284,0.357982,0.660125,0.23164,0.666667,0.428571,0.26087,0.324324,"[[44, 8], [17, 6]]"
0.03,100,15,30,1.0,75,0.306667,0.583612,0.336476,0.631386,0.221761,0.6,0.111111,0.043478,0.0625,"[[44, 8], [22, 1]]"
0.03,200,15,20,1.0,75,0.306667,0.582776,0.353218,0.679835,0.237291,0.613333,0.3125,0.217391,0.25641,"[[41, 11], [18, 5]]"
0.03,100,15,20,1.0,75,0.306667,0.582776,0.347849,0.64169,0.223933,0.613333,0.25,0.130435,0.171429,"[[43, 9], [20, 3]]"
0.06,100,15,20,1.0,75,0.306667,0.572742,0.345873,0.683982,0.239709,0.6,0.266667,0.173913,0.210526,"[[41, 11], [19, 4]]"
0.06,100,15,30,0.0,75,0.306667,0.570234,0.33969,0.697864,0.245707,0.6,0.266667,0.173913,0.210526,"[[41, 11], [19, 4]]"
0.06,100,15,30,1.0,75,0.306667,0.56689,0.332388,0.676516,0.239853,0.626667,0.333333,0.217391,0.263158,"[[42, 10], [18, 5]]"
0.06,100,7,30,1.0,75,0.306667,0.566054,0.335656,0.669791,0.23796,0.64,0.357143,0.217391,0.27027,"[[43, 9], [18, 5]]"
0.03,200,15,30,0.0,75,0.306667,0.561873,0.33273,0.686483,0.24397,0.6,0.266667,0.173913,0.210526,"[[41, 11], [19, 4]]"
0.03,100,7,10,0.0,75,0.306667,0.561037,0.348991,0.651628,0.227629,0.626667,0.142857,0.043478,0.066667,"[[46, 6], [22, 1]]"
0.03,200,15,30,1.0,75,0.306667,0.560201,0.329936,0.679595,0.240292,0.613333,0.285714,0.173913,0.216216,"[[42, 10], [19, 4]]"
0.06,100,15,20,0.0,75,0.306667,0.559365,0.335808,0.708857,0.249966,0.613333,0.285714,0.173913,0.216216,"[[42, 10], [19, 4]]"
0.03,200,7,10,0.0,75,0.306667,0.552676,0.352913,0.674712,0.23354,0.64,0.3,0.130435,0.181818,"[[45, 7], [20, 3]]"
0.06,100,7,10,0.0,75,0.306667,0.543478,0.334247,0.679721,0.238214,0.626667,0.222222,0.086957,0.125,"[[45, 7], [21, 2]]"
0.03,200,15,10,1.0,75,0.306667,0.541806,0.318324,0.726142,0.255811,0.6,0.266667,0.173913,0.210526,"[[41, 11], [19, 4]]"
0.06,100,15,10,1.0,75,0.306667,0.54097,0.320404,0.726288,0.257255,0.626667,0.333333,0.217391,0.263158,"[[42, 10], [18, 5]]"
0.03,100,15,10,1.0,75,0.306667,0.539298,0.319219,0.671221,0.236867,0.613333,0.2,0.086957,0.121212,"[[44, 8], [21, 2]]"
0.06,200,15,20,1.0,75,0.306667,0.537625,0.339324,0.790183,0.274591,0.573333,0.235294,0.173913,0.2,"[[39, 13], [19, 4]]"
0.06,200,7,30,1.0,75,0.306667,0.535117,0.322259,0.747246,0.264102,0.586667,0.25,0.173913,0.205128,"[[40, 12], [19, 4]]"
0.06,200,15,30,1.0,75,0.306667,0.530936,0.320433,0.750842,0.263862,0.613333,0.3125,0.217391,0.25641,"[[41, 11], [18, 5]]"
0.06,200,15,20,0.0,75,0.306667,0.528428,0.327093,0.856707,0.288384,0.6,0.294118,0.217391,0.25,"[[40, 12], [18, 5]]"
0.06,200,15,10,1.0,75,0.306667,0.526756,0.315503,0.836089,0.286591,0.613333,0.285714,0.173913,0.216216,"[[42, 10], [19, 4]]"
0.06,200,7,30,0.0,75,0.306667,0.525084,0.317497,0.758581,0.26697,0.586667,0.277778,0.217391,0.243902,"[[39, 13], [18, 5]]"
0.03,100,15,10,0.0,75,0.306667,0.524247,0.32667,0.694115,0.24295,0.626667,0.272727,0.130435,0.176471,"[[44, 8], [20, 3]]"
0.06,200,15,30,0.0,75,0.306667,0.516722,0.312545,0.798701,0.279826,0.586667,0.3,0.26087,0.27907,"[[38, 14], [17, 6]]"
0.06,200,7,10,0.0,75,0.306667,0.514214,0.335881,0.760501,0.259108,0.613333,0.25,0.130435,0.171429,"[[43, 9], [20, 3]]"
0.06,100,15,10,0.0,75,0.306667,0.502508,0.312209,0.785874,0.268075,0.613333,0.285714,0.173913,0.216216,"[[42, 10], [19, 4]]"
0.06,200,15,10,0.0,75,0.306667,0.500836,0.320147,0.982655,0.303671,0.6,0.266667,0.173913,0.210526,"[[41, 11], [19, 4]]"
0.03,200,15,10,0.0,75,0.306667,0.469064,0.302306,0.791772,0.270317,0.613333,0.285714,0.173913,0.216216,"[[42, 10], [19, 4]]"
