feature,importance
mean_monthly_net,6.7625025120007685
seasonal_recovery_rate,1.1276942055744223
peak_to_trough_ratio,1.003197659143073
net_cashflow_trend,0.9671335022690972
recent_vs_previous_inflow,0.6413260068075324
outflow_trend,0.5867623051396695
recent_3m_mean_net,0.4033160654380188
recent_3m_mean_inflow,0.2766158093122222
anomalous_transaction_share,0.2649015819482159
inflow_trend,0.19049532547921189
mean_monthly_business_outflow,0.10179920330530923
negative_net_month_rate,0.0872846835563672
inflow_cv,0.07432672823762876
recent_vs_previous_net,0.06085106919799754
median_monthly_business_outflow,0.044734196948561955
median_monthly_inflow,0.01746705862650688
positive_month_rate,0.0053933889612449715
p25_monthly_inflow,0.004743592396754481
unclassified_transaction_share,0.0
verified_transaction_share,0.0
zero_income_month_rate,0.0
net_cashflow_std,-0.004354822805496372
source_count,-0.006778227671113468
self_declared_income_share,-0.008142902924067386
customer_count,-0.01798639682440606
median_monthly_net,-0.03442662885773018
seasonality_strength,-0.038627973636784496
p10_monthly_inflow,-0.05372433288024525
mean_monthly_inflow,-0.09450440044148656
top_customer_share,-0.11232786233020176
recent_3m_volatility,-0.19566569891240304
outflow_cv,-0.24783910977743973
