learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,rows,stress_rate,roc_auc,average_precision,log_loss,brier_score,accuracy_at_0_5,precision_at_0_5,recall_at_0_5,f1_at_0_5,confusion_matrix_at_0_5
0.03,100,7,20,0.0,150,0.453333,0.672884,0.643764,0.640368,0.224414,0.653333,0.690476,0.426471,0.527273,"[[69, 13], [39, 29]]"
0.03,100,7,20,1.0,150,0.453333,0.670732,0.640746,0.640316,0.224425,0.66,0.680851,0.470588,0.556522,"[[67, 15], [36, 32]]"
0.03,100,15,20,0.0,150,0.453333,0.663379,0.626988,0.654752,0.231663,0.613333,0.592593,0.470588,0.52459,"[[60, 22], [36, 32]]"
0.03,100,15,10,0.0,150,0.453333,0.662303,0.641439,0.652769,0.228846,0.626667,0.62,0.455882,0.525424,"[[63, 19], [37, 31]]"
0.03,200,15,20,1.0,150,0.453333,0.661944,0.622136,0.668696,0.236326,0.613333,0.589286,0.485294,0.532258,"[[59, 23], [35, 33]]"
0.03,100,7,30,1.0,150,0.453333,0.661316,0.633615,0.644659,0.226378,0.653333,0.690476,0.426471,0.527273,"[[69, 13], [39, 29]]"
0.03,100,7,10,1.0,150,0.453333,0.660868,0.627438,0.649116,0.228283,0.666667,0.736842,0.411765,0.528302,"[[72, 10], [40, 28]]"
0.03,100,7,30,0.0,150,0.453333,0.66042,0.627947,0.649292,0.228551,0.633333,0.658537,0.397059,0.495413,"[[68, 14], [41, 27]]"
0.06,100,15,30,0.0,150,0.453333,0.659254,0.606119,0.679998,0.238436,0.633333,0.618182,0.5,0.552846,"[[61, 21], [34, 34]]"
0.06,100,15,20,1.0,150,0.453333,0.658895,0.619735,0.669984,0.236344,0.62,0.603774,0.470588,0.528926,"[[61, 21], [36, 32]]"
0.03,200,7,20,1.0,150,0.453333,0.658357,0.644881,0.647026,0.227022,0.653333,0.666667,0.470588,0.551724,"[[66, 16], [36, 32]]"
0.06,100,15,30,1.0,150,0.453333,0.658178,0.611479,0.673972,0.237612,0.6,0.574074,0.455882,0.508197,"[[59, 23], [37, 31]]"
0.03,200,15,20,0.0,150,0.453333,0.657999,0.627782,0.673739,0.238596,0.606667,0.581818,0.470588,0.520325,"[[59, 23], [36, 32]]"
